# User:                creplogle  Version:             NPSS_2.8Date: 03/11/24  Time: 16:18:06

           CASE           time      F010in.Tt      F010in.Pt      F010in.ht       F010in.s       F010in.W     F010in.Cpt    F010in.gamt    F010in.rhot     F010out.Tt     F010out.Pt     F010out.ht      F010out.s      F010out.W    F010out.Cpt   F010out.gamt   F010out.rhot        F020.Tt        F020.Pt        F020.ht         F020.s         F020.W       F020.Cpt      F020.gamt      F020.rhot        F040.Tt        F040.Pt        F040.ht         F040.s         F040.W       F040.Cpt      F040.gamt      F040.rhot        F050.Tt        F050.Pt        F050.ht         F050.s         F050.W       F050.Cpt      F050.gamt      F050.rhot        F060.Tt        F060.Pt        F060.ht         F060.s         F060.W       F060.Cpt      F060.gamt      F060.rhot        F070.Tt        F070.Pt        F070.ht         F070.s         F070.W       F070.Cpt      F070.gamt      F070.rhot  Cooler.Fl_I.Tt  Cooler.Fl_I.Pt  Cooler.Fl_I.ht  Cooler.Fl_I.s  Cooler.Fl_I.W  Cooler.Fl_I.Cpt  Cooler.Fl_I.gamt  Cooler.Fl_I.rhot  Cooler.Fl_O.Tt  Cooler.Fl_O.Pt  Cooler.Fl_O.ht  Cooler.Fl_O.s  Cooler.Fl_O.W  Cooler.Fl_O.Cpt  Cooler.Fl_O.gamt  Cooler.Fl_O.rhot  Heater.Fl_I.Tt  Heater.Fl_I.Pt  Heater.Fl_I.ht  Heater.Fl_I.s  Heater.Fl_I.W  Heater.Fl_I.Cpt  Heater.Fl_I.gamt  Heater.Fl_I.rhot  Heater.Fl_O.Tt  Heater.Fl_O.Pt  Heater.Fl_O.ht  Heater.Fl_O.s  Heater.Fl_O.W  Heater.Fl_O.Cpt  Heater.Fl_O.gamt  Heater.Fl_O.rhot  Looppipe.Fl_I.Tt  Looppipe.Fl_I.Pt  Looppipe.Fl_I.ht  Looppipe.Fl_I.s  Looppipe.Fl_I.W  Looppipe.Fl_I.Cpt  Looppipe.Fl_I.gamt  Looppipe.Fl_I.rhot  Looppipe.Fl_O.Tt  Looppipe.Fl_O.Pt  Looppipe.Fl_O.ht  Looppipe.Fl_O.s  Looppipe.Fl_O.W  Looppipe.Fl_O.Cpt  Looppipe.Fl_O.gamt  Looppipe.Fl_O.rhot  Sunshot.Fl_I.Tt  Sunshot.Fl_I.Pt  Sunshot.Fl_I.ht  Sunshot.Fl_I.s  Sunshot.Fl_I.W  Sunshot.Fl_I.Cpt  Sunshot.Fl_I.gamt  Sunshot.Fl_I.rhot  Sunshot.Fl_O.Tt  Sunshot.Fl_O.Pt  Sunshot.Fl_O.ht  Sunshot.Fl_O.s  Sunshot.Fl_O.W  Sunshot.Fl_O.Cpt  Sunshot.Fl_O.gamt  Sunshot.Fl_O.rhot  TsPump.Fl_I.Tt  TsPump.Fl_I.Pt  TsPump.Fl_I.ht  TsPump.Fl_I.s  TsPump.Fl_I.W  TsPump.Fl_I.Cpt  TsPump.Fl_I.gamt  TsPump.Fl_I.rhot  TsPump.Fl_O.Tt  TsPump.Fl_O.Pt  TsPump.Fl_O.ht  TsPump.Fl_O.s  TsPump.Fl_O.W  TsPump.Fl_O.Cpt  TsPump.Fl_O.gamt  TsPump.Fl_O.rhot  Valve1.Fl_I.Tt  Valve1.Fl_I.Pt  Valve1.Fl_I.ht  Valve1.Fl_I.s  Valve1.Fl_I.W  Valve1.Fl_I.Cpt  Valve1.Fl_I.gamt  Valve1.Fl_I.rhot  Valve1.Fl_O.Tt  Valve1.Fl_O.Pt  Valve1.Fl_O.ht  Valve1.Fl_O.s  Valve1.Fl_O.W  Valve1.Fl_O.Cpt  Valve1.Fl_O.gamt  Valve1.Fl_O.rhot  Valve2.Fl_I.Tt  Valve2.Fl_I.Pt  Valve2.Fl_I.ht  Valve2.Fl_I.s  Valve2.Fl_I.W  Valve2.Fl_I.Cpt  Valve2.Fl_I.gamt  Valve2.Fl_I.rhot  Valve2.Fl_O.Tt  Valve2.Fl_O.Pt  Valve2.Fl_O.ht  Valve2.Fl_O.s  Valve2.Fl_O.W  Valve2.Fl_O.Cpt  Valve2.Fl_O.gamt  Valve2.Fl_O.rhot    Sunshot.pwr    Sunshot.trq     Sunshot.PR  Sunshot.PRdes     Sunshot.Wc     Sunshot.Nc    Sunshot.eff  Sunshot.effDes  Sunshot.effPoly       Sh.pwrIn      Sh.pwrOut      Sh.pwrNet       Sh.trqIn      Sh.trqOut      Sh.trqNet       Sh.Nmech  Cooler.switchHeat  Cooler.coolerMode      Cooler.dT   Cooler.dTsat       Cooler.Q    Cooler.hout    Cooler.Tout       Cooler.x     Cooler.pwr  Heater.switchHeat  Heater.coolerMode      Heater.dT   Heater.dTsat       Heater.Q    Heater.hout    Heater.Tout       Heater.x     Heater.pwr    Perf.pwrNet  solver.converged  solver.iterationCounter  solver.passCounter  solver.numJacobians  solver.numBroydens  errHandler.numErrors  errHandler.numWarnings  errHandler.numMessages  errHandler.numErrors  errHandler.numWarnings  errHandler.numMessages      switchDes 
              1        0.00000      480.67998      435.11000     -134.20369  -4.20645E-001        1.00000   5.69051E-001        2.54449       60.09366      480.67998      435.11000     -134.20369  -4.20645E-001        1.00000   5.69051E-001        2.54449       60.09366      491.62714     1232.02279     -129.58607  -4.16191E-001        1.00000   5.33838E-001        2.40668       60.25514      490.32203      833.56639     -129.58607  -4.13678E-001        1.00000   5.61867E-001        2.52185       59.35300      482.01249      437.35660     -129.58607  -4.11077E-001        1.00000  -5.43073E+004  -5.43073E+004       43.12223      482.01249      437.35660     -129.58607  -4.11077E-001        1.00000  -5.43073E+004  -5.43073E+004       43.12223      480.68000      435.11630     -134.20369  -4.20645E-001        1.00000   5.69050E-001        2.54449       60.09368      482.01249      437.35660     -129.58607  -4.11077E-001        1.00000  -5.43073E+004  -5.43073E+004       43.12223      480.68000      435.11630     -134.20369  -4.20645E-001        1.00000   5.69050E-001        2.54449       60.09368      482.01249      437.35660     -129.58607  -4.11077E-001        1.00000  -5.43073E+004  -5.43073E+004       43.12223      482.01249      437.35660     -129.58607  -4.11077E-001        1.00000  -5.43073E+004  -5.43073E+004       43.12223      480.68000      435.11630     -134.20369  -4.20645E-001        1.00000   5.69050E-001        2.54449       60.09368      480.67998      435.11000     -134.20369  -4.20645E-001        1.00000   5.69051E-001        2.54449       60.09366      480.67998      435.11000     -134.20369  -4.20645E-001        1.00000   5.69051E-001        2.54449       60.09366      491.62714     1232.02279     -129.58607  -4.16191E-001        1.00000   5.33838E-001        2.40668       60.25514      480.67998      435.11000     -134.20369  -4.20645E-001        1.00000   5.69051E-001        2.54449       60.09366      480.67998      435.11000     -134.20369  -4.20645E-001        1.00000   5.69051E-001        2.54449       60.09366      491.62714     1232.02279     -129.58607  -4.16191E-001        1.00000   5.33838E-001        2.40668       60.25514      490.32203      833.56639     -129.58607  -4.13678E-001        1.00000   5.61867E-001        2.52185       59.35300      490.32203      833.56639     -129.58607  -4.13678E-001        1.00000   5.61867E-001        2.52185       59.35300      482.01249      437.35660     -129.58607  -4.11077E-001        1.00000  -5.43073E+004  -5.43073E+004       43.12223       -6.53325       -9.59814        2.83152        2.83152   3.25148E-002     3713.58693   5.27749E-001   5.27749E-001   9.13375E-001        0.00000      -22.04761      -22.04761        0.00000      -32.39064      -32.39064     3575.00000           TEMP           None       -1.33249  -9.96631E-001       -4.61762     -134.20369      480.68000     -999.00000        0.00000              Q           None        0.00000        0.00000        0.00000     -129.58607      482.01249     -999.00000        0.00000       -6.53325              1             19             23              1             17              0              0              0              0              0              0         DESIGN 
              2        0.00000      490.95997      507.63000     -128.37323  -4.09112E-001        1.00000   6.03583E-001        2.67592       58.07403      490.95997      507.63000     -128.37323  -4.09112E-001        1.00000   6.03583E-001        2.67592       58.07403      504.83097     1437.36464     -122.81580  -4.03888E-001        1.00000   5.47872E-001        2.47424       58.37190      502.71502      972.49732     -122.81580  -4.00932E-001        1.00000   5.90267E-001        2.64381       57.19572      492.30989      510.25011     -122.81580  -3.97838E-001        1.00000  -5.43073E+004  -5.43073E+004       41.20686      492.30989      510.25011     -122.81580  -3.97838E-001        1.00000  -5.43073E+004  -5.43073E+004       41.20686      490.96000      507.63643     -128.37323  -4.09112E-001        1.00000   6.03582E-001        2.67592       58.07405      492.30989      510.25011     -122.81580  -3.97838E-001        1.00000  -5.43073E+004  -5.43073E+004       41.20686      490.96000      507.63643     -128.37323  -4.09112E-001        1.00000   6.03582E-001        2.67592       58.07405      492.30989      510.25011     -122.81580  -3.97838E-001        1.00000  -5.43073E+004  -5.43073E+004       41.20686      492.30989      510.25011     -122.81580  -3.97838E-001        1.00000  -5.43073E+004  -5.43073E+004       41.20686      490.96000      507.63643     -128.37323  -4.09112E-001        1.00000   6.03582E-001        2.67592       58.07405      490.95997      507.63000     -128.37323  -4.09112E-001        1.00000   6.03583E-001        2.67592       58.07403      490.95997      507.63000     -128.37323  -4.09112E-001        1.00000   6.03583E-001        2.67592       58.07403      504.83097     1437.36464     -122.81580  -4.03888E-001        1.00000   5.47872E-001        2.47424       58.37190      490.95997      507.63000     -128.37323  -4.09112E-001        1.00000   6.03583E-001        2.67592       58.07403      490.95997      507.63000     -128.37323  -4.09112E-001        1.00000   6.03583E-001        2.67592       58.07403      504.83097     1437.36464     -122.81580  -4.03888E-001        1.00000   5.47872E-001        2.47424       58.37190      502.71502      972.49732     -122.81580  -4.00932E-001        1.00000   5.90267E-001        2.64381       57.19572      502.71502      972.49732     -122.81580  -4.00932E-001        1.00000   5.90267E-001        2.64381       57.19572      492.30989      510.25011     -122.81580  -3.97838E-001        1.00000  -5.43073E+004  -5.43073E+004       41.20686       -7.86294      -11.55163        2.83152        2.83152   2.81662E-002     3674.50270   5.27749E-001   5.27749E-001   8.99908E-001        0.00000      -23.37730      -23.37730        0.00000      -34.34412      -34.34412     3575.00000           TEMP           None       -1.34989       -1.00005       -5.55743     -128.37323      490.96000     -999.00000        0.00000              Q           None        0.00000        0.00000        0.00000     -122.81580      492.30989     -999.00000        0.00000       -7.86294              1             19             19              0             17              0              0              0              0              0              0         DESIGN 
              3        0.00000      500.20995      580.15000     -122.87734  -3.98498E-001        1.00000   6.47072E-001        2.83697       56.08344      500.20995      580.15000     -122.87734  -3.98498E-001        1.00000   6.47072E-001        2.83697       56.08344      517.44075     1642.70649     -116.32661  -3.92487E-001        1.00000   5.60872E-001        2.53552       56.57094      514.28462     1111.42824     -116.32661  -3.89072E-001        1.00000   6.22583E-001        2.78083       55.07495      501.57234      583.14363     -116.32661  -3.85455E-001        1.00000  -5.43073E+004  -5.43073E+004       39.46383      501.57234      583.14363     -116.32661  -3.85455E-001        1.00000  -5.43073E+004  -5.43073E+004       39.46383      500.21000      580.15657     -122.87734  -3.98498E-001        1.00000   6.47071E-001        2.83697       56.08346      501.57234      583.14363     -116.32661  -3.85455E-001        1.00000  -5.43073E+004  -5.43073E+004       39.46383      500.21000      580.15657     -122.87734  -3.98498E-001        1.00000   6.47071E-001        2.83697       56.08346      501.57234      583.14363     -116.32661  -3.85455E-001        1.00000  -5.43073E+004  -5.43073E+004       39.46383      501.57234      583.14363     -116.32661  -3.85455E-001        1.00000  -5.43073E+004  -5.43073E+004       39.46383      500.21000      580.15657     -122.87734  -3.98498E-001        1.00000   6.47071E-001        2.83697       56.08346      500.20995      580.15000     -122.87734  -3.98498E-001        1.00000   6.47072E-001        2.83697       56.08344      500.20995      580.15000     -122.87734  -3.98498E-001        1.00000   6.47072E-001        2.83697       56.08344      517.44075     1642.70649     -116.32661  -3.92487E-001        1.00000   5.60872E-001        2.53552       56.57094      500.20995      580.15000     -122.87734  -3.98498E-001        1.00000   6.47072E-001        2.83697       56.08344      500.20995      580.15000     -122.87734  -3.98498E-001        1.00000   6.47072E-001        2.83697       56.08344      517.44075     1642.70649     -116.32661  -3.92487E-001        1.00000   5.60872E-001        2.53552       56.57094      514.28462     1111.42824     -116.32661  -3.89072E-001        1.00000   6.22583E-001        2.78083       55.07495      514.28462     1111.42824     -116.32661  -3.89072E-001        1.00000   6.22583E-001        2.78083       55.07495      501.57234      583.14363     -116.32661  -3.85455E-001        1.00000  -5.43073E+004  -5.43073E+004       39.46383       -9.26833      -13.61631        2.83152        2.83152   2.48764E-002     3640.36932   5.27749E-001   5.27749E-001   8.86535E-001        0.00000      -24.78269      -24.78269        0.00000      -36.40881      -36.40881     3575.00000           TEMP           None       -1.36234       -1.00019       -6.55074     -122.87734      500.21000     -999.00000        0.00000              Q           None        0.00000        0.00000        0.00000     -116.32661      501.57234     -999.00000        0.00000       -9.26833              1             20             20              0             18              0              0              0              0              0              0         DESIGN 
              4        0.00000      508.62994      652.67000     -117.60354  -3.88526E-001        1.00000   7.03829E-001        3.04853       54.08244      508.62994      652.67000     -117.60354  -3.88526E-001        1.00000   7.03829E-001        3.04853       54.08244      529.73342     1848.04834     -110.00016  -3.81707E-001        1.00000   5.72722E-001        2.58850       54.82604      525.28270     1250.35917     -110.00016  -3.77817E-001        1.00000   6.59560E-001        2.93200       52.96038      510.00858      656.03718     -110.00016  -3.73638E-001        1.00000  -5.43073E+004  -5.43073E+004       37.83897      510.00858      656.03718     -110.00016  -3.73638E-001        1.00000  -5.43073E+004  -5.43073E+004       37.83897      508.63000      652.67673     -117.60354  -3.88526E-001        1.00000   7.03827E-001        3.04853       54.08246      510.00858      656.03718     -110.00016  -3.73638E-001        1.00000  -5.43073E+004  -5.43073E+004       37.83897      508.63000      652.67673     -117.60354  -3.88526E-001        1.00000   7.03827E-001        3.04853       54.08246      510.00858      656.03718     -110.00016  -3.73638E-001        1.00000  -5.43073E+004  -5.43073E+004       37.83897      510.00858      656.03718     -110.00016  -3.73638E-001        1.00000  -5.43073E+004  -5.43073E+004       37.83897      508.63000      652.67673     -117.60354  -3.88526E-001        1.00000   7.03827E-001        3.04853       54.08246      508.62994      652.67000     -117.60354  -3.88526E-001        1.00000   7.03829E-001        3.04853       54.08244      508.62994      652.67000     -117.60354  -3.88526E-001        1.00000   7.03829E-001        3.04853       54.08244      529.73342     1848.04834     -110.00016  -3.81707E-001        1.00000   5.72722E-001        2.58850       54.82604      508.62994      652.67000     -117.60354  -3.88526E-001        1.00000   7.03829E-001        3.04853       54.08244      508.62994      652.67000     -117.60354  -3.88526E-001        1.00000   7.03829E-001        3.04853       54.08244      529.73342     1848.04834     -110.00016  -3.81707E-001        1.00000   5.72722E-001        2.58850       54.82604      525.28270     1250.35917     -110.00016  -3.77817E-001        1.00000   6.59560E-001        2.93200       52.96038      525.28270     1250.35917     -110.00016  -3.77817E-001        1.00000   6.59560E-001        2.93200       52.96038      510.00858      656.03718     -110.00016  -3.73638E-001        1.00000  -5.43073E+004  -5.43073E+004       37.83897      -10.75766      -15.80432        2.83152        2.83152   2.22977E-002     3610.11180   5.27749E-001   5.27749E-001   8.73214E-001        0.00000      -26.27202      -26.27202        0.00000      -38.59681      -38.59681     3575.00000           TEMP           None       -1.37858       -1.00556       -7.60337     -117.60354      508.63000     -999.00000        0.00000              Q           None        0.00000        0.00000        0.00000     -110.00016      510.00858     -999.00000        0.00000      -10.75766              1             20             20              0             18              0              0              0              0              0              0         DESIGN 
              5        0.00000      516.37992      725.19000     -112.43888  -3.78943E-001        1.00000   7.81984E-001        3.34233       52.02280      516.37992      725.19000     -112.43888  -3.78943E-001        1.00000   7.81984E-001        3.34233       52.02280      541.97285     2053.39019     -103.71402  -3.71290E-001        1.00000   5.83300E-001        2.63362       53.10714      535.94450     1389.29010     -103.71402  -3.66904E-001        1.00000   7.01245E-001        3.09611       50.81896      517.76445      728.93075     -103.71402  -3.62116E-001        1.00000  -5.43073E+004  -5.43073E+004       36.26433      517.76445      728.93075     -103.71402  -3.62116E-001        1.00000  -5.43073E+004  -5.43073E+004       36.26433      516.38000      725.19691     -112.43888  -3.78943E-001        1.00000   7.81981E-001        3.34232       52.02283      517.76445      728.93075     -103.71402  -3.62116E-001        1.00000  -5.43073E+004  -5.43073E+004       36.26433      516.38000      725.19691     -112.43888  -3.78943E-001        1.00000   7.81981E-001        3.34232       52.02283      517.76445      728.93075     -103.71402  -3.62116E-001        1.00000  -5.43073E+004  -5.43073E+004       36.26433      517.76445      728.93075     -103.71402  -3.62116E-001        1.00000  -5.43073E+004  -5.43073E+004       36.26433      516.38000      725.19691     -112.43888  -3.78943E-001        1.00000   7.81981E-001        3.34232       52.02283      516.37992      725.19000     -112.43888  -3.78943E-001        1.00000   7.81984E-001        3.34233       52.02280      516.37992      725.19000     -112.43888  -3.78943E-001        1.00000   7.81984E-001        3.34233       52.02280      541.97285     2053.39019     -103.71402  -3.71290E-001        1.00000   5.83300E-001        2.63362       53.10714      516.37992      725.19000     -112.43888  -3.78943E-001        1.00000   7.81984E-001        3.34233       52.02280      516.37992      725.19000     -112.43888  -3.78943E-001        1.00000   7.81984E-001        3.34233       52.02280      541.97285     2053.39019     -103.71402  -3.71290E-001        1.00000   5.83300E-001        2.63362       53.10714      535.94450     1389.29010     -103.71402  -3.66904E-001        1.00000   7.01245E-001        3.09611       50.81896      535.94450     1389.29010     -103.71402  -3.66904E-001        1.00000   7.01245E-001        3.09611       50.81896      517.76445      728.93075     -103.71402  -3.62116E-001        1.00000  -5.43073E+004  -5.43073E+004       36.26433      -12.34439      -18.13543        2.83152        2.83152   2.02202E-002     3582.91858   5.27749E-001   5.27749E-001   8.59883E-001        0.00000      -27.85875      -27.85875        0.00000      -40.92792      -40.92792     3575.00000           TEMP           None       -1.38445       -1.00191       -8.72486     -112.43888      516.38000     -999.00000        0.00000              Q           None        0.00000        0.00000        0.00000     -103.71402      517.76445     -999.00000        0.00000      -12.34439              1             20             20              0             18              0              0              0              0              0              0         DESIGN 
              6        0.00000      523.54989      797.71000     -107.28814  -3.69545E-001        1.00000   8.96123E-001        3.76962       49.85549      523.54989      797.71000     -107.28814  -3.69545E-001        1.00000   8.96123E-001        3.76962       49.85549      554.39475     2258.73204      -97.35976  -3.61026E-001        1.00000   5.91450E-001        2.66999       51.38721      546.48275     1528.22102      -97.35976  -3.56120E-001        1.00000   7.44953E-001        3.26720       48.62388      524.94538      801.82435      -97.35976  -3.50658E-001        1.00000  -5.43073E+004  -5.43073E+004       34.71276      524.94538      801.82435      -97.35976  -3.50658E-001        1.00000  -5.43073E+004  -5.43073E+004       34.71276      523.55000      797.71713     -107.28814  -3.69545E-001        1.00000   8.96118E-001        3.76960       49.85553      524.94538      801.82435      -97.35976  -3.50658E-001        1.00000  -5.43073E+004  -5.43073E+004       34.71276      523.55000      797.71713     -107.28814  -3.69545E-001        1.00000   8.96118E-001        3.76960       49.85553      524.94538      801.82435      -97.35976  -3.50658E-001        1.00000  -5.43073E+004  -5.43073E+004       34.71276      524.94538      801.82435      -97.35976  -3.50658E-001        1.00000  -5.43073E+004  -5.43073E+004       34.71276      523.55000      797.71713     -107.28814  -3.69545E-001        1.00000   8.96118E-001        3.76960       49.85553      523.54989      797.71000     -107.28814  -3.69545E-001        1.00000   8.96123E-001        3.76962       49.85549      523.54989      797.71000     -107.28814  -3.69545E-001        1.00000   8.96123E-001        3.76962       49.85549      554.39475     2258.73204      -97.35976  -3.61026E-001        1.00000   5.91450E-001        2.66999       51.38721      523.54989      797.71000     -107.28814  -3.69545E-001        1.00000   8.96123E-001        3.76962       49.85549      523.54989      797.71000     -107.28814  -3.69545E-001        1.00000   8.96123E-001        3.76962       49.85549      554.39475     2258.73204      -97.35976  -3.61026E-001        1.00000   5.91450E-001        2.66999       51.38721      546.48275     1528.22102      -97.35976  -3.56120E-001        1.00000   7.44953E-001        3.26720       48.62388      546.48275     1528.22102      -97.35976  -3.56120E-001        1.00000   7.44953E-001        3.26720       48.62388      524.94538      801.82435      -97.35976  -3.50658E-001        1.00000  -5.43073E+004  -5.43073E+004       34.71276      -14.04720      -20.63706        2.83152        2.83152   1.85091E-002     3558.30011   5.27749E-001   5.27749E-001   8.46460E-001        0.00000      -29.56156      -29.56156        0.00000      -43.42955      -43.42955     3575.00000           TEMP           None       -1.39538       -1.00462       -9.92838     -107.28814      523.55000     -999.00000        0.00000              Q           None        0.00000        0.00000        0.00000      -97.35976      524.94538     -999.00000        0.00000      -14.04720              1             21             21              0             19              0              0              0              0              0              0         DESIGN 
              7        0.00000      530.22985      870.23000     -102.01470  -3.60061E-001        1.00000        1.07736        4.43275       47.50040      530.22985      870.23000     -102.01470  -3.60061E-001        1.00000        1.07736        4.43275       47.50040      567.33391     2464.07389      -90.77753  -3.50632E-001        1.00000   5.96257E-001        2.69538       49.61953      557.18692     1667.15195      -90.77753  -3.45174E-001        1.00000   7.88490E-001        3.44301       46.32733      531.62879      874.71800      -90.77753  -3.38953E-001        1.00000  -5.43073E+004  -5.43073E+004       33.11944      531.62879      874.71800      -90.77753  -3.38953E-001        1.00000  -5.43073E+004  -5.43073E+004       33.11944      530.23000      870.23739     -102.01470  -3.60061E-001        1.00000        1.07735        4.43271       47.50044      531.62879      874.71800      -90.77753  -3.38953E-001        1.00000  -5.43073E+004  -5.43073E+004       33.11944      530.23000      870.23739     -102.01470  -3.60061E-001        1.00000        1.07735        4.43271       47.50044      531.62879      874.71800      -90.77753  -3.38953E-001        1.00000  -5.43073E+004  -5.43073E+004       33.11944      531.62879      874.71800      -90.77753  -3.38953E-001        1.00000  -5.43073E+004  -5.43073E+004       33.11944      530.23000      870.23739     -102.01470  -3.60061E-001        1.00000        1.07735        4.43271       47.50044      530.22985      870.23000     -102.01470  -3.60061E-001        1.00000        1.07736        4.43275       47.50040      530.22985      870.23000     -102.01470  -3.60061E-001        1.00000        1.07736        4.43275       47.50040      567.33391     2464.07389      -90.77753  -3.50632E-001        1.00000   5.96257E-001        2.69538       49.61953      530.22985      870.23000     -102.01470  -3.60061E-001        1.00000        1.07736        4.43275       47.50040      530.22985      870.23000     -102.01470  -3.60061E-001        1.00000        1.07736        4.43275       47.50040      567.33391     2464.07389      -90.77753  -3.50632E-001        1.00000   5.96257E-001        2.69538       49.61953      557.18692     1667.15195      -90.77753  -3.45174E-001        1.00000   7.88490E-001        3.44301       46.32733      557.18692     1667.15195      -90.77753  -3.45174E-001        1.00000   7.88490E-001        3.44301       46.32733      531.62879      874.71800      -90.77753  -3.38953E-001        1.00000  -5.43073E+004  -5.43073E+004       33.11944      -15.89895      -23.35750        2.83152        2.83152   1.70746E-002     3535.81491   5.27749E-001   5.27749E-001   8.32803E-001        0.00000      -31.41331      -31.41331        0.00000      -46.15000      -46.15000     3575.00000           TEMP           None       -1.39879       -1.00120      -11.23717     -102.01470      530.23000     -999.00000        0.00000              Q           None        0.00000        0.00000        0.00000      -90.77753      531.62879     -999.00000        0.00000      -15.89895              1             21             21              0             19              0              0              0              0              0              0         DESIGN 
              8        0.00000      536.46980      942.75000      -96.44032  -3.50156E-001        1.00000        1.41059        5.59825       44.83753      536.46980      942.75000      -96.44033  -3.50156E-001        1.00000        1.41059        5.59825       44.83753      581.22766     2669.41574      -83.74929  -3.39753E-001        1.00000   5.98082E-001        2.70863       47.73899      568.40794     1806.08287      -83.74929  -3.33699E-001        1.00000   8.29209E-001        3.61557       43.85813      537.87024      947.61173      -83.74929  -3.26594E-001        1.00000  -5.43073E+004  -5.43073E+004       31.43082      537.87024      947.61173      -83.74929  -3.26594E-001        1.00000  -5.43073E+004  -5.43073E+004       31.43082      536.47000      942.75773      -96.44032  -3.50156E-001        1.00000        1.41056        5.59816       44.83759      537.87024      947.61173      -83.74929  -3.26594E-001        1.00000  -5.43073E+004  -5.43073E+004       31.43082      536.47000      942.75773      -96.44032  -3.50156E-001        1.00000        1.41056        5.59816       44.83759      537.87024      947.61173      -83.74929  -3.26594E-001        1.00000  -5.43073E+004  -5.43073E+004       31.43082      537.87024      947.61173      -83.74929  -3.26594E-001        1.00000  -5.43073E+004  -5.43073E+004       31.43082      536.47000      942.75773      -96.44032  -3.50156E-001        1.00000        1.41056        5.59816       44.83759      536.46980      942.75000      -96.44032  -3.50156E-001        1.00000        1.41059        5.59825       44.83753      536.46980      942.75000      -96.44033  -3.50156E-001        1.00000        1.41059        5.59825       44.83753      581.22766     2669.41574      -83.74929  -3.39753E-001        1.00000   5.98082E-001        2.70863       47.73899      536.46980      942.75000      -96.44032  -3.50156E-001        1.00000        1.41059        5.59825       44.83753      536.46980      942.75000      -96.44033  -3.50156E-001        1.00000        1.41059        5.59825       44.83753      581.22766     2669.41574      -83.74929  -3.39753E-001        1.00000   5.98082E-001        2.70863       47.73899      568.40794     1806.08287      -83.74929  -3.33699E-001        1.00000   8.29209E-001        3.61557       43.85813      568.40794     1806.08287      -83.74929  -3.33699E-001        1.00000   8.29209E-001        3.61557       43.85813      537.87024      947.61173      -83.74929  -3.26594E-001        1.00000  -5.43073E+004  -5.43073E+004       31.43082      -17.95595      -26.37949        2.83152        2.83152   1.58536E-002     3515.19137   5.27749E-001   5.27749E-001   8.18669E-001        0.00000      -33.47031      -33.47031        0.00000      -49.17198      -49.17198     3575.00000           TEMP           None       -1.40024  -9.97530E-001      -12.69103      -96.44032      536.47000     -999.00000        0.00000              Q           None        0.00000        0.00000        0.00000      -83.74929      537.87024     -999.00000        0.00000      -17.95595              1             21             21              0             19              0              0              0              0              0              0         DESIGN 
              9        0.00000      542.29971     1015.26000      -90.23139  -3.39222E-001        1.00000        2.18226        8.13921       41.63877      542.29971     1015.26000      -90.23139  -3.39222E-001        1.00000        2.18226        8.13921       41.63877      596.85430     2874.72928      -75.85810  -3.27738E-001        1.00000   5.97241E-001        2.70980       45.61625      580.76938     1944.99464      -75.85810  -3.21019E-001        1.00000   8.56770E-001        3.73047       41.07073      543.70401     1020.49555      -75.85810  -3.12823E-001        1.00000  -5.43073E+004  -5.43073E+004       29.57510      543.70401     1020.49555      -75.85810  -3.12823E-001        1.00000  -5.43073E+004  -5.43073E+004       29.57510      542.30000     1015.26821      -90.23139  -3.39222E-001        1.00000        2.18217        8.13893       41.63885      543.70401     1020.49555      -75.85810  -3.12823E-001        1.00000  -5.43073E+004  -5.43073E+004       29.57510      542.30000     1015.26821      -90.23139  -3.39222E-001        1.00000        2.18217        8.13893       41.63885      543.70401     1020.49555      -75.85810  -3.12823E-001        1.00000  -5.43073E+004  -5.43073E+004       29.57510      543.70401     1020.49555      -75.85810  -3.12823E-001        1.00000  -5.43073E+004  -5.43073E+004       29.57510      542.30000     1015.26821      -90.23139  -3.39222E-001        1.00000        2.18217        8.13893       41.63885      542.29971     1015.26000      -90.23139  -3.39222E-001        1.00000        2.18226        8.13921       41.63877      542.29971     1015.26000      -90.23139  -3.39222E-001        1.00000        2.18226        8.13921       41.63877      596.85430     2874.72928      -75.85810  -3.27738E-001        1.00000   5.97241E-001        2.70980       45.61625      542.29971     1015.26000      -90.23139  -3.39222E-001        1.00000        2.18226        8.13921       41.63877      542.29971     1015.26000      -90.23139  -3.39222E-001        1.00000        2.18226        8.13921       41.63877      596.85430     2874.72928      -75.85810  -3.27738E-001        1.00000   5.97241E-001        2.70980       45.61625      580.76938     1944.99464      -75.85810  -3.21019E-001        1.00000   8.56770E-001        3.73047       41.07073      580.76938     1944.99464      -75.85810  -3.21019E-001        1.00000   8.56770E-001        3.73047       41.07073      543.70401     1020.49555      -75.85810  -3.12823E-001        1.00000  -5.43073E+004  -5.43073E+004       29.57510      -20.33610      -29.87622        2.83152        2.83152   1.48011E-002     3496.24553   5.27749E-001   5.27749E-001   8.03529E-001        0.00000      -35.85045      -35.85045        0.00000      -52.66871      -52.66871     3575.00000           TEMP           None       -1.40401  -9.98842E-001      -14.37329      -90.23139      542.30000     -999.00000        0.00000              Q           None        0.00000        0.00000        0.00000      -75.85810      543.70401     -999.00000        0.00000      -20.33610              1             22             22              0             20              0              0              0              0              0              0         DESIGN 
