# User:                           Version:                     Date:           Time:         

                                                                                                                                                               
CASE                                 1              2              3              4              5              6              7              8              9 
Cooler.Q                 -2.30885E-002  -2.16320E-002  -2.01910E-002  -1.87310E-002  -1.72279E-002  -1.56656E-002  -1.39950E-002  -1.21968E-002  -1.04254E-002 
Cooler.hout              -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
Cooler.Tout                   -6.10556  -3.94444E-001        4.74444        9.42222       13.72778       17.71111       21.42222       24.88889       28.12778 
Cooler.x                    -999.00000     -999.00000     -999.00000     -999.00000     -999.00000     -999.00000     -999.00000     -999.00000     -999.00000 
Cooler.pwr                     0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000 
Heater.switchHeat             ENTHALPY       ENTHALPY       ENTHALPY       ENTHALPY       ENTHALPY       ENTHALPY       ENTHALPY       ENTHALPY       ENTHALPY 
Heater.coolerMode                 None           None           None           None           None           None           None           None           None 
Heater.dT                   -273.33684     -273.34462     -273.35146     -273.35749     -273.36278     -273.36733     -273.37109     -273.37387     -273.37509 
Heater.dTsat                -273.15000     -273.15000     -273.15000     -273.15000     -273.15000     -273.15000     -273.15000     -273.15000     -273.15000 
Heater.Q                  1.82167E-002   1.57687E-002   1.32794E-002   1.07092E-002   8.02243E-003   5.19123E-003   2.13896E-003  -1.19276E-003  -4.73864E-003 
Heater.hout              -2.61256E+005  -2.50906E+005  -2.41299E+005  -2.32251E+005  -2.23552E+005  -2.15015E+005  -2.06432E+005  -1.97431E+005  -1.86894E+005 
Heater.Tout                   -5.36528   3.55494E-001        5.50130       10.18810       14.49692       18.48632       22.19933       25.66680       28.90779 
Heater.x                    -999.00000     -999.00000     -999.00000     -999.00000     -999.00000     -999.00000     -999.00000     -999.00000     -999.00000 
Heater.pwr                     0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000 
Perf.pwrNet              -4.87184E-003  -5.86339E-003  -6.91140E-003  -8.02197E-003  -9.20523E-003  -1.04750E-002  -1.18559E-002  -1.33897E-002  -1.51646E-002 
solver.converged                     1              1              1              1              1              1              1              1              1 
solver.iterationCounter             21             22             22             21             23             21             21             21             22 
solver.passCounter                  25             22             22             21             23             21             21             21             22 
solver.numJacobians                  1              0              0              0              0              0              0              0              0 
solver.numBroydens                  19             20             20             19             21             19             19             19             20 
errHandler.numErrors                 0              0              0              0              0              0              0              0              0 
errHandler.numWarnings               0              0              0              0              0              0              0              0              0 
errHandler.numMessages               0              0              0              0              0              0              0              0              0 
errHandler.numErrors                 0              0              0              0              0              0              0              0              0 
errHandler.numWarnings               0              0              0              0              0              0              0              0              0 
errHandler.numMessages               0              0              0              0              0              0              0              0              0 
switchDes                       DESIGN         DESIGN         DESIGN         DESIGN         DESIGN         DESIGN         DESIGN         DESIGN         DESIGN 



